ENST00000678135|ENSP00000504724|BTF3	c3466c57b263f4530e09cfd6f8c3df7e	99	MobiDBLite	mobidb-lite	consensus disorder prediction	63	84	-	T	14-07-2025	-	-	-	-
ENST00000678135|ENSP00000504724|BTF3	c3466c57b263f4530e09cfd6f8c3df7e	99	CDD	cd22055	NAC_BTF3	1	62	2.62037E-34	T	14-07-2025	-	-	-	-
ENST00000678135|ENSP00000504724|BTF3	c3466c57b263f4530e09cfd6f8c3df7e	99	Pfam	PF01849	NAC domain	1	34	0.0000000042	T	14-07-2025	IPR002715	Nascent polypeptide-associated complex NAC domain	-	-
ENST00000678135|ENSP00000504724|BTF3	c3466c57b263f4530e09cfd6f8c3df7e	99	PANTHER	PTHR10351	TRANSCRIPTION FACTOR BTF3 FAMILY MEMBER	1	99	4.8E-68	T	14-07-2025	IPR039370	Transcription factor BTF3	-	-
ENST00000678135|ENSP00000504724|BTF3	c3466c57b263f4530e09cfd6f8c3df7e	99	Gene3D	G3DSA:2.20.70.30	-	1	47	6.9E-25	T	14-07-2025	IPR038187	NAC A/B domain superfamily	-	-
ENST00000678135|ENSP00000504724|BTF3	c3466c57b263f4530e09cfd6f8c3df7e	99	ProSiteProfiles	PS51151	NAC A/B domain profile.	1	40	10.401682	T	14-07-2025	IPR002715	Nascent polypeptide-associated complex NAC domain	-	-
ENST00000678135|ENSP00000504724|BTF3	c3466c57b263f4530e09cfd6f8c3df7e	99	FunFam	G3DSA:2.20.70.30:FF:000001	Transcription factor BTF3 homolog	1	47	1.3E-30	T	14-07-2025	-	-	-	-
ENST00000489308|ENSP00000434824|BTF3L4	2d4a9ea1d9611d47b412c3058036afe4	78	PANTHER	PTHR10351	TRANSCRIPTION FACTOR BTF3 FAMILY MEMBER	1	56	4.4E-37	T	14-07-2025	IPR039370	Transcription factor BTF3	-	-
ENST00000507081|ENSP00000420978|BTF3	372b18fd220851f172626dea9a688898	109	SMART	SM01407	NAC_2	9	59	3.4E-11	T	14-07-2025	IPR002715	Nascent polypeptide-associated complex NAC domain	-	-
ENST00000507081|ENSP00000420978|BTF3	372b18fd220851f172626dea9a688898	109	FunFam	G3DSA:2.20.70.30:FF:000001	Transcription factor BTF3 homolog	20	72	5.2E-33	T	14-07-2025	-	-	-	-
ENST00000507081|ENSP00000420978|BTF3	372b18fd220851f172626dea9a688898	109	Gene3D	G3DSA:2.20.70.30	-	22	72	5.6E-27	T	14-07-2025	IPR038187	NAC A/B domain superfamily	-	-
ENST00000507081|ENSP00000420978|BTF3	372b18fd220851f172626dea9a688898	109	CDD	cd22055	NAC_BTF3	9	87	4.4228E-39	T	14-07-2025	-	-	-	-
ENST00000507081|ENSP00000420978|BTF3	372b18fd220851f172626dea9a688898	109	ProSiteProfiles	PS51151	NAC A/B domain profile.	1	65	10.451639	T	14-07-2025	IPR002715	Nascent polypeptide-associated complex NAC domain	-	-
ENST00000507081|ENSP00000420978|BTF3	372b18fd220851f172626dea9a688898	109	PANTHER	PTHR10351	TRANSCRIPTION FACTOR BTF3 FAMILY MEMBER	24	109	2.3E-65	T	14-07-2025	IPR039370	Transcription factor BTF3	-	-
ENST00000507081|ENSP00000420978|BTF3	372b18fd220851f172626dea9a688898	109	MobiDBLite	mobidb-lite	consensus disorder prediction	88	109	-	T	14-07-2025	-	-	-	-
ENST00000507081|ENSP00000420978|BTF3	372b18fd220851f172626dea9a688898	109	Pfam	PF01849	NAC domain	10	59	1E-11	T	14-07-2025	IPR002715	Nascent polypeptide-associated complex NAC domain	-	-
ENST00000509708|ENSP00000425490|BTF3	ddb1e52890c76d63aab892b9adfe9f8a	86	Gene3D	G3DSA:2.20.70.30	-	1	53	5.6E-30	T	14-07-2025	IPR038187	NAC A/B domain superfamily	-	-
